MSN,Description,Unit,Energy type,sector,appendix,unit2,cleanliness
CLOSB,Coal consumed by the industrial sector excluding refinery fuel.,Billion Btu,CL,O,S,B,
CLPRB,Coal production.,Billion Btu,CL,P,R,B,
CLPRK,Factor for converting coal production from physical units to Btu.,Million Btu per short ton,CL,P,R,K,
CLPRP,Coal production.,Thousand short tons,CL,P,R,P,
CLRCB,Coal consumed by the residential sector.,Billion Btu,CL,R,C,B,
CLRCD,Coal price in the residential sector.,Dollars per million Btu,CL,R,C,D,
CLRCP,Coal consumed by the residential sector.,Thousand short tons,CL,R,C,P,
CLRCV,Coal expenditures in the residential sector.,Million dollars,CL,R,C,V,
CLRFB,Coal consumed as refinery fuel.,Billion Btu,CL,R,F,B,
CLTCB,Coal total consumption.,Billion Btu,CL,T,C,B,
CLTCD,"Coal average price, all sectors.",Dollars per million Btu,CL,T,C,D,
CLTCP,Coal total consumption.,Thousand short tons,CL,T,C,P,
CLTCV,Coal total expenditures.,Million dollars,CL,T,C,V,
CLTXB,Coal total end-use consumption.,Billion Btu,CL,T,X,B,
CLTXD,"Coal average price, all end-use sectors.",Dollars per million Btu,CL,T,X,D,
CLTXP,Coal total end-use consumption.,Thousand barrels,CL,T,X,P,
CLTXV,Coal total end-use expenditures.,Million dollars,CL,T,X,V,
CLXCD,Coal average price for all sectors excluding refinery fuel.,Dollars per million Btu,CL,X,C,D,
CLXCV,Coal expenditures for all sectors excluding refinery fuel.,Million dollars,CL,X,C,V,
COICB,Crude oil consumed by the industrial sector.,Billion Btu,CO,I,C,B,
COICP,Crude oil consumed by the industrial sector.,Thousand barrels,CO,I,C,P,
COPRK,Factor for converting crude oil production from physical units to Btu.,Million Btu per barrel,CO,P,R,K,
DFACB,Distillate fuel oil consumed by the transportation sector.,Billion Btu,DF,A,C,B,
DFACD,Distillate fuel oil price in the transportation sector.,Dollars per million Btu,DF,A,C,D,
DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,DF,A,C,P,
DFACV,Distillate fuel oil expenditures in the transportation sector.,Million dollars,DF,A,C,V,
DFCCB,Distillate fuel oil consumed by the commercial sector.,Billion Btu,DF,C,C,B,
DFCCD,Distillate fuel oil price in the commercial sector.,Dollars per million Btu,DF,C,C,D,
DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,DF,C,C,P,
DFCCV,Distillate fuel oil expenditures in the commercial sector.,Million dollars,DF,C,C,V,
DFEID,Distillate fuel oil price in the electric power sector.,Dollars per million Btu,DF,E,I,D,
DFEIV,Distillate fuel oil expenditures in the electric power sector.,Million dollars,DF,E,I,V,
DFICB,Distillate fuel oil consumed by the industrial sector.,Billion Btu,DF,I,C,B,
DFICD,Distillate fuel oil price in the industrial sector.,Dollars per million Btu,DF,I,C,D,
DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,DF,I,C,P,
DFICV,Distillate fuel oil expenditures in the industrial sector.,Million dollars,DF,I,C,V,
DFISB,Distillate fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu,DF,I,S,B,
DFRCB,Distillate fuel oil consumed by the residential sector.,Billion Btu,DF,R,C,B,
DFRCD,Distillate fuel oil price in the residential sector.,Dollars per million Btu,DF,R,C,D,
DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,DF,R,C,P,
DFRCV,Distillate fuel oil expenditures in the residential sector.,Million dollars,DF,R,C,V,
DFRFB,Distillate fuel oil consumed as refinery fuel.,Billion Btu,DF,R,F,B,
DFTCB,Distillate fuel oil total consumption.,Billion Btu,DF,T,C,B,
DFTCD,"Distillate fuel oil average price, all sectors.",Dollars per million Btu,DF,T,C,D,
DFTCP,Distillate fuel oil total consumption.,Thousand barrels,DF,T,C,P,
DFTCV,Distillate fuel oil total expenditures.,Million dollars,DF,T,C,V,
DFTXB,Distillate fuel oil total end-use consumption.,Billion Btu,DF,T,X,B,
DFTXD,"Distillate fuel oil average price, all end-use sectors.",Dollars per million Btu,DF,T,X,D,
DFTXP,Distillate fuel oil total end-use consumption.,Thousand barrels,DF,T,X,P,
DFTXV,Distillate fuel oil total end-use expenditures.,Million dollars,DF,T,X,V,
DKEIB,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Billion Btu,DK,E,I,B,
DKEID,Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.,Dollars per million Btu,DK,E,I,D,
DKEIP,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Thousand barrels,DK,E,I,P,
DKEIV,Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.,Million dollars,DK,E,I,V,
ELEXB,Electricity exported from the United States.,Billion Btu,EL,E,X,B,
ELEXD,Electricity exports average price.,Dollars per million Btu,EL,E,X,D,
ELEXP,Electricity exported from the United States.,Million kilowatthours,EL,E,X,P,
ELEXV,Electricity exports expenditures.,Million dollars,EL,E,X,V,
ELIMB,Electricity imported into the United States.,Billion Btu,EL,I,M,B,
ELIMD,Electricity imports average price.,Dollars per million Btu,EL,I,M,D,
ELIMP,Electricity imported into the United States.,Million kilowatthours,EL,I,M,P,
ELIMV,Electricity imports expenditures.,Million dollars,EL,I,M,V,
ELISB,Net interstate sales of electricity and associated losses (negative and positive values).,Billion Btu,EL,I,S,B,
ELNIB,Net imports of electricity into the United States.,Billion Btu,EL,N,I,B,
ELNIP,Net imports of electricity into the United States.,Million kilowatthours,EL,N,I,P,
EMACB,"Fuel ethanol, excluding denaturant, consumed by the transportation sector.",Billion Btu,EM,A,C,B,
EMACV,"Fuel ethanol, excluding denaturant, expenditures in the transportation sector.",Million dollars,EM,A,C,V,
EMCCB,"Fuel ethanol, excluding denaturant, consumed by the commercial sector",Billion Btu,EM,C,C,B,
EMCCV,"Fuel ethanol, excluding denaturant, expenditures in the commercial sector.",Million dollars,EM,C,C,V,
EMFDB,Biomass inputs (feedstock) for the production of fuel ethanol.,Billion Btu,EM,F,D,B,
EMICB,"Fuel ethanol, excluding denaturant, consumed by the industrial sector.",Billion Btu,EM,I,C,B,
EMICV,"Fuel ethanol, excluding denaturant, expenditures in the industrial sector.",Million dollars,EM,I,C,V,
EMLCB,Energy losses and co-products from the production of fuel ethanol.,Billion Btu,EM,L,C,B,
EMTCB,"Fuel ethanol, excluding denaturant, total consumption.",Billion Btu,EM,T,C,B,
EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,EM,T,C,P,
