MSN,Description,Unit,Energy type,sector,appendix,unit2,cleanliness
MMTCB,Motor gasoline total consumption excluding fuel ethanol.,Billion Btu,MM,T,C,B,
MSICB,Miscellaneous petroleum products consumed by the industrial sector.,Billion Btu,MS,I,C,B,
MSICD,Miscellaneous petroleum products price in the industrial sector.,Dollars per million Btu,MS,I,C,D,
MSICP,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels,MS,I,C,P,
MSICV,Miscellaneous petroleum products expenditures in the industrial sector.,Million dollars,MS,I,C,V,
NAICB,Natural gasoline consumed by the industrial sector.,Billion Btu,NA,I,C,B,
NAICP,Natural gasoline consumed by the industrial sector.,Thousand barrels,NA,I,C,P,
NGACB,Natural gas consumed by the transportation sector.,Billion Btu,NG,A,C,B,
NGACD,Natural gas price in the transportation sector.,Dollars per million Btu,NG,A,C,D,
NGACP,Natural gas consumed by the transportation sector.,Million cubic feet,NG,A,C,P,
NGACV,Natural gas expenditures in the transportation sector.,Million dollars,NG,A,C,V,
NGCCB,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Billion Btu,NG,C,C,B,
NGCCD,Natural gas price in the commercial sector (including supplemental gaseous fuels).,Dollars per million Btu,NG,C,C,D,
NGCCP,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet,NG,C,C,P,
NGCCV,Natural gas expenditures in the commercial sector (including supplemental gaseous fuels).,Million dollars,NG,C,C,V,
NGEIB,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Billion Btu,NG,E,I,B,
NGEID,Natural gas price in the electric power sector (including supplemental gaseous fuels).,Dollars per million Btu,NG,E,I,D,
NGEIK,Factor for converting natural gas consumed by the electric power sector from physical units to Btu.,Thousand Btu per cubic foot,NG,E,I,K,
NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet,NG,E,I,P,
NGEIV,Natural gas expenditures in the electric power sector (including supplemental gaseous fuels).,Million dollars,NG,E,I,V,
NGICB,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Billion Btu,NG,I,C,B,
NGICD,Natural gas price in the industrial sector (including supplemental gaseous fuels).,Dollars per million Btu,NG,I,C,D,
NGICP,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Million cubic feet,NG,I,C,P,
NGICV,Natural gas expenditures in the industrial sector (including supplemental gaseous fuels).,Million dollars,NG,I,C,V,
NGISB,Natural gas consumed by the industrial sector excluding refinery fuel (including supplemental gaseous fuels).,Billion Btu,NG,I,S,B,
NGLPB,Natural gas consumed as lease and plant fuel.,Billion Btu,NG,L,P,B,
NGLPP,Natural gas consumed as lease and plant fuel.,Million cubic feet,NG,L,P,P,
NGMPB,Natural gas marketed production.,Billion Btu,NG,M,P,B,
NGMPK,Conversion factor for natural gas marketed production.,Thousand Btu per cubic feet,NG,M,P,K,
NGMPP,Natural gas marketed production.,Million cubic feet,NG,M,P,P,
NGPZB,Natural gas consumed as pipeline fuel.,Billion Btu,NG,P,Z,B,
NGPZP,Natural gas consumed as pipeline fuel.,Million cubic feet,NG,P,Z,P,
NGRCB,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Billion Btu,NG,R,C,B,
NGRCD,Natural gas price in the residential sector (including supplemental gaseous fuels).,Dollars per million Btu,NG,R,C,D,
NGRCP,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Million cubic feet,NG,R,C,P,
NGRCV,Natural gas expenditures in the residential sector (including supplemental gaseous fuels).,Million dollars,NG,R,C,V,
NGRFB,Natural gas consumed as refinery fuel (including supplemental gaseous fuels).,Billion Btu,NG,R,F,B,
NGTCB,Natural gas total consumption (including supplemental gaseous fuels).,Billion Btu,NG,T,C,B,
NGTCD,"Natural gas average price, all sectors (including supplemental gaseous fuels).",Dollars per million Btu,NG,T,C,D,
NGTCK,Factor for converting natural gas total consumption from physical units to Btu.,Thousand Btu per cubic foot,NG,T,C,K,
NGTCP,Natural gas total consumption (including supplemental gaseous fuels).,Million cubic feet,NG,T,C,P,
NGTCV,Natural gas total expenditures (including supplemental gaseous fuels).,Million dollars,NG,T,C,V,
NGTXB,Natural gas total end-use consumption (including supplemental gaseous fuels).,Billion Btu,NG,T,X,B,
NGTXD,"Natural gas average price, all end-use sectors (including supplemental gaseous fuels).",Dollars per million Btu,NG,T,X,D,
NGTXK,Factor for converting natural gas consumed by all sectors other than electric power from physical units to Btu.,Thousand Btu per cubic foot,NG,T,X,K,
NGTXP,Natural gas total end-use consumption (including supplemental gaseous fuels).,Million cubic feet,NG,T,X,P,
NGTXV,Natural gas total end-use expenditures (including supplemental gaseous fuels).,Million dollars,NG,T,X,V,
NGVHB,Natural gas consumed as vehicle fuel.,Billion Btu,NG,V,H,B,
NGVHP,Natural gas consumed as vehicle fuel.,Million cubic feet,NG,V,H,P,
NNACB,Natural gas consumed by the transportation sector.  (Code used in SEDS 2006.),Billion Btu,NN,A,C,B,
NNCCB,Natural gas consumed by (delivered to) the commercial sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu,NN,C,C,B,
NNEIB,Natural gas consumed by the electric power sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu,NN,E,I,B,
NNICB,Natural gas consumed by (delivered to) the industrial sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu,NN,I,C,B,
NNRCB,Natural gas consumed by (delivered to) the residential sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu,NN,R,C,B,
NNTCB,Natural gas total consumption (excluding supplemental gaseous fuels).,Billion Btu,NN,T,C,B,
NUEGB,Electricity produced from nuclear power by the electric power sector.,Billion Btu,NU,E,G,B,clean energy
NUEGD,Nuclear fuel price in the electric power sector.,Dollars per million Btu,NU,E,G,D,clean energy
NUEGP,Electricity produced from nuclear power by the electric power sector.,Million kilowatthours,NU,E,G,P,clean energy
NUEGV,Nuclear fuel expenditures in the electric power sector.,Million dollars,NU,E,G,V,clean energy
NUETB,Electricity produced from nuclear power.,Billion Btu,NU,E,T,B,clean energy
NUETD,"Nuclear fuel average price, all sectors.",Dollars per million Btu,NU,E,T,D,clean energy
NUETK,"Factor for converting electricity produced from nuclear power from physical units to Btu, United States only.",Thousand Btu per kilowatthour,NU,E,T,K,clean energy
NUETP,Electricity produced from nuclear power.,Million kilowatthours,NU,E,T,P,clean energy
NUETV,Nuclear fuel total expenditures.,Million dollars,NU,E,T,V,clean energy
P1ICB,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.",Billion Btu,P1,I,C,B,
P1ICD,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" average price in the  industrial sector.",Dollars per million Btu,P1,I,C,D,
P1ICP,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.",Thousand barrels,P1,I,C,P,
P1ICV,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" expenditures in the  industrial sector.",Million dollars,P1,I,C,V,
P1TCB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.",Billion Btu,P1,T,C,B,
P1TCD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all sectors.",Dollars per million Btu,P1,T,C,D,
P1TCP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.",Thousand barrels,P1,T,C,P,
P1TCV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total expenditures.",Million dollars,P1,T,C,V,
P1TXB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.",Billion Btu,P1,T,X,B,
P1TXD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.",Dollars per million Btu,P1,T,X,D,
P1TXP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.",Thousand barrels,P1,T,X,P,
P1TXV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.",Million dollars,P1,T,X,V,
P5RFB,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).",Billion Btu,P5,R,F,B,
PAACB,All petroleum products consumed by the transportation sector.,Billion Btu,PA,A,C,B,
PAACD,All petroleum products average price in the transportation sector.,Dollars per million Btu,PA,A,C,D,
PAACK,"Factor for converting all petroleum products consumed by the transportation sector from physical units to Btu, United States only.",Million Btu per barrel,PA,A,C,K,
PAACP,All petroleum products consumed by the transportation sector.,Thousand barrels,PA,A,C,P,
PAACV,All petroleum products total expenditures in the transportation sector.,Million dollars,PA,A,C,V,
PACCB,All petroleum products consumed by the commercial sector.,Billion Btu,PA,C,C,B,
PACCD,All petroleum products average price in the commercial sector.,Dollars per million Btu,PA,C,C,D,
PACCK,"Factor for converting all petroleum products consumed by the commercial sector from physical units to Btu, United States only.",Million Btu per barrel,PA,C,C,K,
PACCP,All petroleum products consumed by the commercial sector.,Thousand barrels,PA,C,C,P,
PACCV,All petroleum products total expenditures in the commercial sector.,Million dollars,PA,C,C,V,
PAEIB,All petroleum products consumed by the electric power sector.,Billion Btu,PA,E,I,B,
PAEID,All petroleum products average price in the electric power sector.,Dollars per million Btu,PA,E,I,D,
PAEIK,"Factor for converting all petroleum products consumed by the electric power sector from physical units to Btu, United States only.",Million Btu per barrel,PA,E,I,K,
PAEIP,All petroleum products consumed by the electric power sector.,Thousand barrels,PA,E,I,P,
PAEIV,All petroleum products total expenditures in the electric power sector.,Million dollars,PA,E,I,V,
PAHCK,"Factor for converting all petroleum products consumed by the residential and commercial sectors from physical units to Btu, United States only.",Million Btu per barrel,PA,H,C,K,
PAICB,All petroleum products consumed by the industrial sector.,Billion Btu,PA,I,C,B,
PAICD,All petroleum products average price in the industrial sector.,Dollars per million Btu,PA,I,C,D,
PAICK,"Factor for converting all petroleum products consumed by the industrial sector from physical units to Btu, United States only.",Million Btu per barrel,PA,I,C,K,
PAICP,All petroleum products consumed by the industrial sector.,Thousand barrels,PA,I,C,P,
PAICV,All petroleum products total expenditures in the industrial sector.,Million dollars,PA,I,C,V,
PAPRB,Crude oil production (including lease condensate).,Billion Btu,PA,P,R,B,
PAPRP,Crude oil production (including lease condensate).,Thousand barrels,PA,P,R,P,
PARCB,All petroleum products consumed by the residential sector.,Billion Btu,PA,R,C,B,
PARCD,All petroleum products average price in the residential sector.,Dollars per million Btu,PA,R,C,D,
PARCK,"Factor for converting all petroleum products consumed by the residential sector from physical units to Btu, United States only.",Million Btu per barrel,PA,R,C,K,
PARCP,All petroleum products consumed by the residential sector.,Thousand barrels,PA,R,C,P,
PARCV,All petroleum products total expenditures in the residential sector.,Million dollars,PA,R,C,V,
PATCB,All petroleum products total consumption.,Billion Btu,PA,T,C,B,
PATCD,"All petroleum products average price, all sectors.",Dollars per million Btu,PA,T,C,D,
PATCK,"Factor for converting all petroleum products total consumption from physical units to Btu, United States only.",Million Btu per barrel,PA,T,C,K,
PATCP,All petroleum products total consumption.,Thousand barrels,PA,T,C,P,
PATCV,All petroleum products total expenditures.,Million dollars,PA,T,C,V,
PATXB,All petroleum products total end-use consumption.,Billion Btu,PA,T,X,B,
PATXD,"All petroleum products average price, all end-use sectors.",Dollars per million Btu,PA,T,X,D,
PATXP,All petroleum products total end-use consumption.,Thousand barrels,PA,T,X,P,
PATXV,All petroleum products total end-use expenditures.,Million dollars,PA,T,X,V,
PCCCB,Petroleum coke consumed by the commercial sector.,Billion Btu,PC,C,C,B,
PCCCD,Petroleum coke price in the commercial sector.,Dollars per million Btu,PC,C,C,D,
PCCCP,Petroleum coke consumed by the commercial sector.,Thousand barrels,PC,C,C,P,
PCCCV,Petroleum coke expenditures in the commercial sector.,Million dollars,PC,C,C,V,
PCEIB,Petroleum coke consumed by the electric power sector.,Billion Btu,PC,E,I,B,
PCEID,Petroleum coke price in the electric power sector.,Dollars per million Btu,PC,E,I,D,
PCEIP,Petroleum coke consumed by the electric power sector.,Thousand barrels,PC,E,I,P,
PCEIV,Petroleum coke expenditures in the electric power sector.,Million dollars,PC,E,I,V,
PCICB,Petroleum coke consumed by the industrial sector.,Billion Btu,PC,I,C,B,
PCICD,Petroleum coke price in the industrial sector.,Dollars per million Btu,PC,I,C,D,
PCICP,Petroleum coke consumed by the industrial sector.,Thousand barrels,PC,I,C,P,
PCICV,Petroleum coke expenditures in the industrial sector.,Million dollars,PC,I,C,V,
PCISB,Petroleum coke price in the industrial sector excluding refinery fuel.,Billion Btu,PC,I,S,B,
PCRFB,Petroleum coke consumed as refinery fuel.,Billion Btu,PC,R,F,B,
PCTCB,Petroleum coke total consumption.,Billion Btu,PC,T,C,B,
PCTCD,"Petroleum coke average price, all sectors.",Dollars per million Btu,PC,T,C,D,
PCTCP,Petroleum coke total consumption.,Thousand barrels,PC,T,C,P,
PCTCV,Petroleum coke total expenditures.,Million dollars,PC,T,C,V,
PEACD,Primary energy average price in the transportation sector.,Dollars per million Btu,PE,A,C,D,
PEACV,Primary energy total expenditures in the transportation sector.,Million dollars,PE,A,C,V,
PECCD,Primary energy average price in the commercial sector.,Dollars per million Btu,PE,C,C,D,
PECCV,Primary energy total expenditures in the commercial sector.,Million dollars,PE,C,C,V,
PEEID,Primary energy average price in the electric power sector.,Dollars per million Btu,PE,E,I,D,
PEEIV,Primary energy total expenditures in the electric power sector.,Million dollars,PE,E,I,V,
PEICD,Primary energy average price in the industrial sector.,Dollars per million Btu,PE,I,C,D,
PEICV,Primary energy total expenditures in the industrial sector.,Million dollars,PE,I,C,V,
PERCD,Primary energy average price in the residential sector.,Dollars per million Btu,PE,R,C,D,
PERCV,Primary energy total expenditures in the residential sector.,Million dollars,PE,R,C,V,
PETCD,"Primary energy average price, all sectors.",Dollars per million Btu,PE,T,C,D,
PETCV,Primary energy total expenditures.,Million dollars,PE,T,C,V,
PETXD,"Primary energy average price, all end-use sectors.",Dollars per million Btu,PE,T,X,D,
PETXV,Primary energy total end-use expenditures.,Million dollars,PE,T,X,V,
PLICB,Plant condensate consumed by the industrial sector.,Billion Btu,PL,I,C,B,
PLICP,Plant condensate consumed by the industrial sector.,Thousand barrels,PL,I,C,P,
PMTCB,All petroleum products total consumption excluding fuel ethanol.,Billion Btu,PM,T,C,B,
POICB,Other petroleum products consumed by the industrial sector.,Billion Btu,PO,I,C,B,
POICD,Other petroleum products average price in the industrial sector.,Dollars per million Btu,PO,I,C,D,
POICP,Other petroleum products consumed by the industrial sector.,Thousand barrels,PO,I,C,P,
POICV,Other petroleum products total expenditures in the industrial sector.,Million dollars,PO,I,C,V,
POTCB,Other petroleum products total consumption.,Billion Btu,PO,T,C,B,
POTCD,"Other petroleum products average price, all sectors.",Dollars per million Btu,PO,T,C,D,
POTCP,Other petroleum products total consumption.,Thousand barrels,PO,T,C,P,
POTCV,Other petroleum products total expenditures.,Million dollars,PO,T,C,V,
POTXB,Other petroleum products total end-use consumption.,Billion Btu,PO,T,X,B,
POTXD,"Other petroleum products average price, all end-use sectors.",Dollars per million Btu,PO,T,X,D,
POTXP,Other petroleum products total end-use consumption.,Thousand barrels,PO,T,X,P,
POTXV,Other petroleum products total end-use expenditures.,Million dollars,PO,T,X,V,
PPICB,Pentanes plus consumed by the industrial sector.,Billion Btu,PP,I,C,B,
PPICP,Pentanes plus consumed by the industrial sector.,Thousand barrels,PP,I,C,P,
REPRB,Renewable energy production.,Billion Btu,RE,P,R,B,
RETCB,Renewable energy total consumption.,Billion Btu,RE,T,C,B,
RFACB,Residual fuel oil consumed by the transportation sector.,Billion Btu,RF,A,C,B,
RFACD,Residual fuel oil price in the transportation sector.,Dollars per million Btu,RF,A,C,D,
RFACP,Residual fuel oil consumed by the transportation sector.,Thousand barrels,RF,A,C,P,
RFACV,Residual fuel oil expenditures in the transportation sector.,Million dollars,RF,A,C,V,
RFCCB,Residual fuel oil consumed by the commercial sector.,Billion Btu,RF,C,C,B,
RFCCD,Residual fuel oil price in the commercial sector.,Dollars per million Btu,RF,C,C,D,
RFCCP,Residual fuel oil consumed by the commercial sector.,Thousand barrels,RF,C,C,P,
RFCCV,Residual fuel oil expenditures in the commercial sector.,Million dollars,RF,C,C,V,
RFEIB,Residual fuel oil consumed by the electric power sector.,Billion Btu,RF,E,I,B,
RFEID,Residual fuel oil price in the electric power sector.,Dollars per million Btu,RF,E,I,D,
RFEIP,Residual fuel oil consumed by the electric power sector.,Thousand barrels,RF,E,I,P,
RFEIV,Residual fuel oil expenditures in the electric power sector.,Million dollars,RF,E,I,V,
RFICB,Residual fuel oil consumed by the industrial sector.,Billion Btu,RF,I,C,B,
RFICD,Residual fuel oil price in the industrial sector.,Dollars per million Btu,RF,I,C,D,
RFICP,Residual fuel oil consumed by the industrial sector,Thousand barrels,RF,I,C,P,
RFICV,Residual fuel oil expenditures in the industrial sector.,Million dollars,RF,I,C,V,
RFISB,Residual fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu,RF,I,S,B,
RFRFB,Residual fuel oil consumed as refinery fuel.,Billion Btu,RF,R,F,B,
RFTCB,Residual fuel oil total consumption.,Billion Btu,RF,T,C,B,
RFTCD,"Residual fuel oil average price, all sectors.",Dollars per million Btu,RF,T,C,D,
RFTCP,Residual fuel oil total consumption.,Thousand barrels,RF,T,C,P,
RFTCV,Residual fuel oil total expenditures.,Million dollars,RF,T,C,V,
RFTXB,Residual fuel oil total end-use consumption.,Billion Btu,RF,T,X,B,
RFTXD,"Residual fuel oil average price, all end-use sectors.",Dollars per million Btu,RF,T,X,D,
RFTXP,Residual fuel oil total end-use consumption.,Thousand barrels,RF,T,X,P,
RFTXV,Residual fuel oil total end-use expenditures.,Million dollars,RF,T,X,V,
ROPRB,"Renewable energy production, other than fuel ethanol.",Billion Btu,RO,P,R,B,
SFCCB,Supplemental gaseous fuels consumed by the commercial sector.,Billion Btu,SF,C,C,B,
SFEIB,Supplemental gaseous fuels consumed by the electric power sector.,Billion Btu,SF,E,I,B,
SFINB,Supplemental gaseous fuels consumed by the industrial sector.,Billion Btu,SF,I,N,B,
SFRCB,Supplemental gaseous fuels consumed by the residential sector.,Billion Btu,SF,R,C,B,
SFTCB,Supplemental gaseous fuels total consumption.,Billion Btu,SF,T,C,B,
SGICB,Still gas consumed by the industrial sector.,Billion Btu,SG,I,C,B,
SGICP,Still gas consumed by the industrial sector.,Thousand barrels,SG,I,C,P,
SNICB,Special naphthas consumed by the industrial sector.,Billion Btu,SN,I,C,B,
SNICD,Special naphthas price in the industrial sector.,Dollars per million Btu,SN,I,C,D,
SNICP,Special naphthas consumed by the industrial sector.,Thousand barrels,SN,I,C,P,
SNICV,Special naphthas expenditures in the industrial sector.,Million dollars,SN,I,C,V,
SOEGB,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,SO,E,G,B,clean energy
SOEGP,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Million kilowatthours,SO,E,G,P,clean energy
SOHCB,Solar thermal energy consumed by the residential and commercial sectors.,Billion Btu,SO,H,C,B,clean energy
SOTCB,Photovoltaic and solar thermal energy total consumption.,Billion Btu,SO,T,C,B,clean energy
SOTXB,Photovoltaic and solar thermal energy total end-use consumption.,Billion Btu,SO,T,X,B,clean energy
TEACB,Total energy consumed by the transportation sector.,Billion Btu,TE,A,C,B,
TEACD,Total energy average price in the transportation sector.,Dollars per million Btu,TE,A,C,D,
TEACV,Total energy expenditures in the transportation sector.,Million dollars,TE,A,C,V,
TECCB,Total energy consumed by the commercial sector.,Billion Btu,TE,C,C,B,
TECCD,Total energy average price in the commercial sector.,Dollars per million Btu,TE,C,C,D,
TECCV,Total energy expenditures in the commercial sector.,Million dollars,TE,C,C,V,
TEEIB,Total energy consumed by the electric power sector.,Billion Btu,TE,E,I,B,
TEGDS,Energy expenditures as share of current-dollar GDP.,Percent,TE,G,D,S,
TEICB,Total energy consumed by the industrial sector.,Billion Btu,TE,I,C,B,
TEICD,Total energy average price in the industrial sector.,Dollars per million Btu,TE,I,C,D,
TEICV,Total energy expenditures in the industrial sector.,Million dollars,TE,I,C,V,
TEPFB,Total energy used as process fuel.,Billion Btu,TE,P,F,B,
TEPRB,Total energy production.,Billion Btu,TE,P,R,B,
TERCB,Total energy consumed by the residential sector.,Billion Btu,TE,R,C,B,
TERCD,Total energy average price in the residential sector.,Dollars per million Btu,TE,R,C,D,
TERCV,Total energy total expenditures in the residential sector.,Million dollars,TE,R,C,V,
TERFB,Total energy used as refinery fuel.,Billion Btu,TE,R,F,B,
TETCB,Total energy consumption.,Billion Btu,TE,T,C,B,
TETCD,Total energy average price.,Dollars per million Btu,TE,T,C,D,
TETCV,Total energy expenditures.,Million dollars,TE,T,C,V,
TETGR,Total energy consumed per dollar of real gross domestic product.,Thousand Btu per chained (2000) dollar,TE,T,G,R,
TETPB,Total energy consumption per capita.,Million Btu,TE,T,P,B,
TETPV,Total energy expenditures per capita.,Dollars,TE,T,P,V,
TETXB,Total end-use energy consumption.,Billion Btu,TE,T,X,B,
TETXD,Total end-use energy average price.,Dollars per million Btu,TE,T,X,D,
TETXV,Total end-use energy expenditures.,Million dollars,TE,T,X,V,
TNACB,Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses.,Billion Btu,TN,A,C,B,
TNCCB,Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses.,Billion Btu,TN,C,C,B,
TNICB,Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses.,Billion Btu,TN,I,C,B,
TNRCB,Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses.,Billion Btu,TN,R,C,B,
TNSCB,Total primary energy and electricity consumed.,Billion Btu,TN,S,C,B,
TNTXB,Total primary energy and electricity consumed by the end-use sectors.,Billion Btu,TN,T,X,B,
TPOPP,Resident population including Armed Forces.,Thousand,TP,O,P,P,
UOICB,Unfinished oils consumed by the industrial sector.,Billion Btu,UO,I,C,B,
UOICP,Unfinished oils consumed by the industrial sector.,Thousand barrels,UO,I,C,P,
USICB,Unfractionated stream consumed by the industrial sector.,Billion Btu,US,I,C,B,
USICP,Unfractionated stream consumed by the industrial sector.,Thousand barrels,US,I,C,P,
WDCCB,Wood consumed by the commercial sector,Billion Btu,WD,C,C,B,
WDEIB,Wood and waste consumed by the electric power sector.,Billion Btu,WD,E,I,B,
WDICB,Wood consumed by the industrial sector.,Billion Btu,WD,I,C,B,
WDRCB,Wood consumed by the residential sector.,Billion Btu,WD,R,C,B,
WDRCD,Wood price in the residential sector.,Dollars per million Btu,WD,R,C,D,
WDRCP,Wood consumed by the residential sector.,Thousand cords,WD,R,C,P,
WDRCV,Wood expenditures in the residential sector.,Million dollars,WD,R,C,V,
WDRSB,Wood consumed in the residential sector at a cost.,Billion Btu,WD,R,S,B,
WDRXB,Wood consumed in the residential sector at no cost.,Billion Btu,WD,R,X,B,
WSCCB,Waste consumed by the commercial sector,Billion Btu,WS,C,C,B,
WSEIB,Waste consumed by the electric power sector.,Billion Btu,WS,E,I,B,
WSICB,Waste consumed by the industrial sector.,Billion Btu,WS,I,C,B,
WWCCB,Wood and waste consumed by the commercial sector.,Billion Btu,WW,C,C,B,
WWCCD,Wood and waste price in the commercial sector.,Dollars per million Btu,WW,C,C,D,
WWCCV,Wood and waste expenditures in the commercial sector.,Million dollars,WW,C,C,V,
WWCSB,Wood and waste consumed in the commercial sector at a cost.,Billion Btu,WW,C,S,B,
WWCXB,Wood and waste consumed in the commercial sector at no cost.,Billion Btu,WW,C,X,B,
WWEIB,Wood and waste consumed by the electric power sector.,Billion Btu,WW,E,I,B,
WWEID,Wood and waste price in the electric power sector.,Dollars per million Btu,WW,E,I,D,
WWEIV,Wood and waste expenditures in the electric power sector.,Million dollars,WW,E,I,V,
WWICB,Wood and waste consumed by the industrial sector.,Billion Btu,WW,I,C,B,
WWICD,Wood and waste price in the industrial sector.,Dollars per million Btu,WW,I,C,D,
WWICV,Wood and waste expenditures in the industrial sector.,Million dollars,WW,I,C,V,
WWISB,Wood and waste consumed in the industrial sector at a cost.,Billion Btu,WW,I,S,B,
WWIXB,Wood and waste consumed in the industrial sector at no cost.,Billion Btu,WW,I,X,B,
WWTCB,Wood and waste total consumption.,Billion Btu,WW,T,C,B,
WWTCD,"Wood and waste average price, all sectors.",Dollars per million Btu,WW,T,C,D,
WWTCV,Wood and waste total expenditures.,Million dollars,WW,T,C,V,
WWTXB,Wood and waste total end-use consumption.,Billion Btu,WW,T,X,B,
WWTXD,"Wood and waste average price, all end-use sectors.",Dollars per million Btu,WW,T,X,D,
WWTXV,Wood and waste total end-use expenditures.,Million dollars,WW,T,X,V,
WXICB,Waxes consumed by the industrial sector.,Billion Btu,WX,I,C,B,
WXICD,Waxes price in the industrial sector.,Dollars per million Btu,WX,I,C,D,
WXICP,Waxes consumed by the industrial sector.,Thousand barrels,WX,I,C,P,
WXICV,Waxes expenditures in the industrial sector.,Million dollars,WX,I,C,V,
WYEGB,Electricity produced from wind energy by the electric power sector.,Billion Btu,WY,E,G,B,clean energy
WYEGP,Electricity produced from wind energy by the electric power sector.,Million kilowatthours,WY,E,G,P,clean energy
WYTCB,Electricity produced from wind energy.,Billion Btu,WY,T,C,B,clean energy
